word+nextpos	naumov+in	B-NE	14963
prefix3	onu	O	127040
suffix3	466	O	122881
word+nextpos	to+``	O	93320
word	Des	B-NE	116515
nextword	entertainers	O	117108
word+nextpos	adopted+in	O	73400
prefix3	eck	B-NE	42595
word	Anatolia	B-NE	80090
word+nextpos	advanced+nn	I-NE	993
nextword	intact	O	44785
suffix3	din	B-NE	2440
nextword	kagame	B-NE	116458
word+nextpos	inc.+cc	I-NE	52443
prefix3	$	O	12189
prevword	creditors	O	41599
word+nextpos	withdraw+cd	O	70597
word+nextpos	tournament+vbd	O	94787
word+nextpos	door+wrb	O	99400
prefix3	at-	O	116284
word+nextpos	flaim+,	I-NE	94655
word+nextpos	thompson+,	I-NE	89709
prevword	climbing	O	46640
word	rheumatologist	O	66627
word+nextpos	wrong+cc	O	65787
nextword	68.56	O	134229
word	Peters	I-NE	125069
nextword	legislature	B-NE	128271
prefix3	kje	B-NE	79487
word+nextpos	p.m.+in	O	67420
word+nextpos	decapitated+nn	O	75054
prevword	braving	O	114496
word	Duke	B-NE	140533
prevword	lured	B-NE	117042
word+nextpos	technoethics+.	O	87339
nextword	dignity	O	82959
word+nextpos	disabled+,	O	123795
prevword	face.	O	69665
word+nextpos	liberals+cc	O	57463
nextword	stay.	O	46369
nextword	gadgetry	O	140494
nextword	giuliani	O	97529
prefix3	tab	B-NE	135744
prevword	injunction	O	32746
word+nextpos	rouge+pos	I-NE	59658
nextword	7.4	O	71567
word+nextpos	perreault+in	I-NE	75606
word+nextpos	head.+nnp	O	18118
nextword	settler	O	77650
word+nextpos	realize+in	O	102090
nextword	planet	O	87144
word+nextpos	stems+in	O	46379
word+nextpos	investors+nnp	B-NE	83568
suffix3	erk	O	40449
prevword	czar	B-NE	110899
word+nextpos	5/8+,	O	62233
word	role.	O	91598
prevword	dumping	O	33698
prevword	milosevic	O	54060
word+nextpos	without+,	O	125712
prevpos	repr-None	B-NE	757
word+nextpos	producer.+nnp	O	127503
nextword	appeared	B-NE	34365
prevword	answer	O	32047
nextword	attacking	O	27228
word	staggers	O	98453
prevword	6-8	O	79483
word+nextpos	faces+rbr	O	105490
prevword	drawer.	O	125667
word+nextpos	bethesda+jj	B-NE	54907
nextword	takes	I-NE	43747
nextword	habibie	B-NE	68099
suffix3	rm.	O	27918
word+nextpos	nissan+nnp	B-NE	121711
suffix3	30s	O	88541
suffix3	438	O	55822
word+nextpos	scheme+prp	O	112331
word	resting	O	111472
suffix3	lty	B-NE	25190
nextword	tumult	O	88740
nextword	competing	O	18385
nextword	supportive	O	45273
word	buttocks	O	99171
word	REITs	O	58957
nextword	special	O	5749
nextword	ensuring	O	63898
word	confine	O	132771
suffix3	3.1	O	79567
prevword	dispensing	O	98514
nextword	luciano	O	87695
word+nextpos	turmoil+md	O	136596
word+nextpos	nikolai+nnp	B-NE	8595
prevword	24,513	O	18558
word+nextpos	gladly+vb	O	56612
prevword	lead-in	O	67345
prevword	pockets	O	13567
nextword	oakland	O	128531
prevword	waged	O	15031
word+nextpos	rules+vbp	O	120744
word+nextpos	director+rb	O	37930
word+nextpos	re-election+.	O	133873
word	Lebowitz	I-NE	101469
word+nextpos	agencies+vbp	O	23940
word+nextpos	transactions+vbn	O	63459
word+nextpos	are+cc	O	80215
prevword	1956	O	137984
word+nextpos	37,000+nnp	O	41006
prevword	gracious.	O	130489
prevword	pronouncement	O	52251
nextword	vogue	O	139221
nextword	portobello	O	99510
nextword	evacuations	O	136794
prevword	completed	O	51016
word+nextpos	burma+in	B-NE	79962
prefix3	s.c	B-NE	67246
nextword	occured	O	83605
word+nextpos	machines+in	O	22671
suffix3	gna	B-NE	5703
word	second-round	O	99667
prevword	led	O	24851
word+nextpos	potential+in	O	63600
word+nextpos	indictment+rb	O	55394
word+nextpos	sentences+,	O	135862
nextword	pretty	O	57262
word+nextpos	display+nn	O	45591
word	Contractors	I-NE	106417
word+nextpos	cross-border+nns	O	72396
word+nextpos	greek+,	I-NE	108538
word+nextpos	sector+vbd	O	27993
prefix3	naz	B-NE	27090
word+nextpos	baptist+pos	I-NE	101722
word	Kibet	I-NE	97192
prevword	intifada	O	49286
word+nextpos	plant+in	O	81323
nextword	compromise.	O	126934
word+nextpos	banks.+wp	O	89417
word	bottled	O	134027
prefix3	ton	I-NE	69440
word	Louisiana	B-NE	117892
word+nextpos	programs+wdt	O	103659
word+nextpos	from+prp	O	38915
word	solve	O	14009
word+nextpos	drove+jj	O	47004
nextword	liked	O	81001
prevword	throwers	O	77678
suffix3	aw,	B-NE	50051
word	souls.	O	15580
word+nextpos	sees+jj	O	139970
nextword	13-12	O	95315
nextword	jusuf	O	56835
word	Relations	O	52705
nextword	squad	B-NE	24181
word+nextpos	carried+vbn	O	56189
nextword	deepening	O	70172
word+nextpos	's+jj	O	1796
word+nextpos	democrat+wp	O	117916
word+nextpos	shoulder+to	O	115621
nextword	clinic	I-NE	127448
word+nextpos	payments+in	O	22455
nextword	brazil	O	5276
word+nextpos	commonwealth+nns	B-NE	73365
prevword	1/2	O	39846
word	Shawn	B-NE	81613
prevword	vodka	O	25116
suffix3	gn.	O	18303
nextword	blade	O	126107
suffix3	usk	O	15142
word	full-throated	O	32641
prevword	restrained.	O	69797
word+nextpos	warned+nns	O	78466
word+nextpos	burglary+vbd	O	128618
nextword	income.	O	48518
word+nextpos	iva+nnp	B-NE	73603
nextword	combatants	O	30680
nextword	cara-beth	O	95080
nextword	hotline	O	80261
word	consensus	O	112169
prevword	replied.	O	33024
prevword	streamline	B-NE	47474
word	bringing	O	59515
nextword	silber	B-NE	128060
prevword	grown-up	O	98576
word+nextpos	bautista+pos	I-NE	129780
nextword	bargainers	O	67165
prevword	renegotiated	O	56922
word+nextpos	adjuvant+nn	O	125611
prevword	vatican.	O	50175
word+nextpos	r.b.i+.	O	130310
word	bloody	O	12548
word+nextpos	burying+prp	O	7323
word+nextpos	vikhrov+pos	B-NE	17029
word+nextpos	position.+nnp	O	88008
prevword	rule.	O	61692
word	lexicon	O	133068
suffix3	mbo	O	58321
word+nextpos	talks+vb	O	66341
suffix3	hma	B-NE	79695
word+nextpos	california+,	O	80949
prefix3	yam	B-NE	63531
nextword	priorities	O	109289
nextword	criticizing	O	72555
word	sadly	O	130696
word+nextpos	nation+.	O	27977
word+nextpos	me+prp	O	117210
nextword	israel	I-NE	120144
word	Dunayev	I-NE	110745
word+nextpos	phased+nn	O	126885
word+nextpos	availability+in	O	128006
word	most-watched	O	9799
word+nextpos	stock+nn	O	28265
prefix3	via	O	47544
prevword	league.	O	91162
word+nextpos	substantially+vb	O	58279
nextword	profoundly	O	36889
word+nextpos	47+nns	O	82284
nextword	angeles	B-NE	18722
nextword	matching	O	106790
word+nextpos	cisneros+vbd	B-NE	40490
word+nextpos	latvian+jj	B-NE	135979
suffix3	jid	I-NE	86066
prevword	faithful	O	82074
word+nextpos	rich+cc	O	111581
prevword	proof.	O	33283
word+nextpos	noted+in	O	34379
word+nextpos	minority+nns	O	52889
suffix3	ets	B-NE	102388
word+nextpos	bank+to	O	48026
word	second-	O	141079
word+nextpos	hostage+dt	O	107581
nextword	bound	O	34952
prefix3	fd	O	76703
word+nextpos	prague+,	B-NE	124921
nextword	tournaments	B-NE	81112
word+nextpos	kobozev+nnp	B-NE	7227
nextword	studios	O	91034
nextword	tunnel	O	105744
word	principals	O	52695
prevword	snake	O	100363
suffix3	cit	O	41452
nextword	narvekar	B-NE	47293
nextword	pa	I-NE	79852
word+nextpos	recreating+dt	O	137740
prevword	neutral	B-NE	77060
word+nextpos	apply+prp	O	141739
word	nestled	O	41169
word+nextpos	not+in	O	12426
word	Telecom	I-NE	55185
word	Sperling	I-NE	32821
nextword	expressed	O	6955
suffix3	bit	O	26065
prevword	express	I-NE	65478
word	Sullivan	I-NE	40611
prefix3	epk	I-NE	26755
word+nextpos	marquee+nn	O	90652
word	optimistic.	O	45283
word	speechless.	O	40454
nextword	edgy.	O	100839
word+nextpos	died+nnp	O	109844
prefix3	sto	O	1374
prefix3	bak	B-NE	10643
word+nextpos	days+nnp	O	41815
word	built-in	O	126807
word+nextpos	banks+vbz	O	77125
prevword	xiaolong	O	71222
word	denied	O	9236
nextword	g.	O	89965
word+nextpos	island+cc	I-NE	58928
prevword	deliver	O	45670
word	extremists	O	12828
nextword	another	O	4069
word+nextpos	parks+cc	O	114839
word+nextpos	prominent+jj	O	17445
word+nextpos	reverent+nns	O	114072
word	long-serving	O	47714
word	29,445-	O	121404
prefix3	edi	O	8606
suffix3	man	I-NE	7125
word	TO	O	100415
nextword	condemning	O	3173
word+nextpos	or+wp	O	19045
prevword	fun	O	96864
prevword	sister	O	58633
nextword	decree	O	56472
word+nextpos	rainy+nnp	B-NE	81433
word+nextpos	figure+nnp	O	94801
nextword	220	O	138029
prevword	badly	O	14187
word+nextpos	signed+nns	O	23056
nextword	aide	I-NE	32019
prevword	wage	O	38388
nextword	'will	O	134041
word+nextpos	chairman+cc	O	54832
word+nextpos	share+rbr	O	52544
word+nextpos	appeals+in	O	94880
word	demands	O	12404
word+nextpos	says+rbs	O	61869
word+nextpos	policemen+vbd	O	71216
prefix3	vio	O	3479
word+nextpos	resolution+in	O	50118
word	explanations	O	110562
word	areas	O	19308
nextword	bierbusse	I-NE	48396
prevword	tokyo-mitsubishi	O	63403
word+nextpos	riady+,	B-NE	44583
word+nextpos	people+prp	O	62985
nextword	incommunicado	O	69905
prevword	confident	O	41112
word+nextpos	life+vbd	O	28447
word	replied	O	26036
prevword	oscar.	O	138140
prevword	sunglasses	O	106950
word+nextpos	turner+.	I-NE	71718
word	pillar	O	28197
word+nextpos	scientist+.	O	36285
nextword	schulfer	B-NE	125361
word+nextpos	optical+nns	O	124658
word	Chindex	B-NE	64811
nextword	mathematics	O	119442
word+nextpos	weight+in	O	37138
word	Surin	B-NE	76196
prevword	intention	O	8935
nextword	matted	O	113788
word+nextpos	laborers'+nnp	B-NE	106459
prefix3	fre	O	8320
suffix3	web	B-NE	116535
prevword	boasts	O	115019
prevword	tourist	O	37056
word+nextpos	instances+in	O	22942
nextword	onet	B-NE	102710
word	gala	O	103402
word+nextpos	allies+in	O	51171
word+nextpos	close+nn	O	10115
word+nextpos	parcells+cc	B-NE	115183
prevword	painter	O	126680
prevword	zurich	O	5337
word+nextpos	party+vbd	I-NE	76812
word	engaged	O	17491
word+nextpos	7+nn	O	27095
prefix3	sil	O	10868
suffix3	sir	B-NE	120443
word+nextpos	orbiting+dt	O	127658
word	state.	O	36095
word	raid.	O	13839
word+nextpos	unlikely+,	O	87690
word	BAGHDAD	B-NE	72522
nextword	tangled	O	61409
prevword	quotes	O	127617
prevword	events	O	14490
word	Damon	B-NE	117550
word+nextpos	germany+cd	B-NE	74137
prevword	coupled	I-NE	137847
word	opinions.	O	90979
word+nextpos	federation+nns	O	95461
prevword	jangling	O	134696
nextword	tuleyev	B-NE	9997
prefix3	jit	O	72866
word+nextpos	embarrassed+in	O	14797
prevword	6-3	O	73624
word+nextpos	trade+cc	B-NE	124672
word+nextpos	about+.	O	87181
word	accomplished	O	4347
nextword	situated	O	35416
suffix3	d	O	120976
word	Plans	O	138461
word+nextpos	high+.	O	66853
nextword	unilateralism	O	113171
nextword	barrier	O	134111
word	opposite.	O	89360
word+nextpos	army+cc	O	80556
word	Became	O	107934
nextword	sirica	O	89746
word	Romanians	B-NE	75378
word+nextpos	tool.+nnp	O	87158
prefix3	.39	O	130560
word+nextpos	rise+rb	O	109043
prevword	shifts	O	63064
nextword	korda	O	122705
word+nextpos	pro+vbz	O	99942
word+nextpos	suspects+dt	O	19126
nextword	urchuk	O	2467
prevword	kalmykya	O	8724
nextword	flossie	O	135051
suffix3	sig	B-NE	128871
prevword	cleaned	O	48708
word+nextpos	primary+nnp	I-NE	70708
prefix3	fdi	O	83885
prevword	richter	O	77099
word+nextpos	application+md	O	84846
suffix3	ied	B-NE	126850
word+nextpos	independent+,	O	52428
nextword	office	O	4936
word	pledges	O	66196
prefix3	wee	O	5603
nextword	demonstrations	O	35031
nextword	quickly	B-NE	137731
nextword	walter	B-NE	36813
suffix3	wan	I-NE	34896
prevword	year-end	O	38340
word	proteges	O	69837
prevword	fabrice	I-NE	74167
nextword	u.s.	B-NE	33342
word+nextpos	seal+in	O	69270
word	31-year-old	O	11992
word+nextpos	hosted+dt	O	45562
nextword	starchy	O	126114
word+nextpos	more.+cc	O	119662
nextword	kemp	B-NE	92621
nextword	munich	B-NE	123899
pos+prevtag	MD+O	O	1541
prefix3	ran	B-NE	20536
nextword	antonella	O	21017
prevword	howard	O	73101
prevword	chatting	O	15200
word	Pfiesteria	O	48151
word+nextpos	qualified+nns	O	63914
word	error.	O	142062
suffix3	nda	B-NE	40352
word	industrial	O	31605
word+nextpos	branded+in	O	23688
word+nextpos	doing+cc	O	101454
nextword	eyewitnesses	O	10291
prevword	conducted	O	30992
word+nextpos	allbritton+:	I-NE	67281
word	merged	O	47511
nextword	newspaper.	I-NE	32387
prevword	gabriele	I-NE	81793
nextword	soon	I-NE	72476
word+nextpos	gesture.+nnp	O	37330
nextword	suspect	B-NE	17525
word+nextpos	territorial+nn	O	43947
word	skepticism	O	43588
word+nextpos	ponomaryev+pos	B-NE	111380
prevword	attack.	O	2362
word+nextpos	survivors+vbn	O	137523
prevword	precedent	O	49110
nextword	each	O	13843
nextword	1983	O	40139
word+nextpos	38,777-+$	O	121293
prevword	tribunal	O	30473
prevword	home.	O	22679
suffix3	kly	O	8749
nextword	arthurs	O	100989
word	buyers	O	29291
word+nextpos	manufacturing+nns	O	46916
word+nextpos	nail+in	O	130278
word	Dodd	B-NE	131977
nextword	logovaz	O	107836
word+nextpos	organization.+nnp	O	16835
word+nextpos	preserving+nnp	O	140265
word+nextpos	about+md	O	41897
nextword	shulman	B-NE	108312
word+nextpos	bona+vbz	O	118722
word+nextpos	thrilled+to	O	91233
word+nextpos	implied+in	O	117522
word	57	O	40932
word+nextpos	libyans+vbn	O	78790
suffix3	lo.	B-NE	95227
word+nextpos	gens+,	I-NE	42697
word	balm	O	105555
word+nextpos	turn+,	O	42927
prevword	accelerates	O	68814
prevword	bahrein	O	5440
word+nextpos	artistic+nnp	O	101102
nextword	thinker	O	79110
word+nextpos	supporting+dt	O	92811
prefix3	hid	O	1504
word+nextpos	saran+nnp	O	135306
word+nextpos	sea+cc	O	84363
nextword	refineries	O	108325
word+nextpos	not+vbg	O	15840
word+nextpos	house+pos	I-NE	89059
prevword	affirmative	O	102196
prevword	lenders	O	62059
prevword	succinctly	O	100943
nextword	well.	O	29386
word	iceberg	O	16739
word	framed	O	24779
word+nextpos	considers+to	O	66408
word+nextpos	low+.	B-NE	85771
prefix3	dji	B-NE	78883
word+nextpos	longer+vbg	O	39118
word+nextpos	henchmen+vbd	O	24564
nextword	yoweri	O	125239
nextword	62.12	O	50944
word	Vostoktransflot	B-NE	27267
nextword	tanui	O	97165
word	29-year-old	O	1414
prevword	regularly	O	32653
word	transplant.	O	128611
prevword	philanthropy	O	128290
nextpos	vbg	O	440
nextword	plainly	O	93517
word+nextpos	offer.+nnp	O	65853
word	Takes	O	63350
word	become	I-NE	107335
prevword	exported	O	80245
prevword	beethoven	O	94105
nextword	shreds	O	126374
nextword	broadcasting	I-NE	58053
word+nextpos	kuala+nnp	B-NE	83218
prefix3	c-1	O	66065
word	restaurateur	O	27895
nextword	adversary.	O	35125
prefix3	rau	O	89659
word+nextpos	several+nn	O	16161
prevword	195-pound	O	116888
prefix3	mav	O	102806
word+nextpos	released+dt	O	111761
prevword	repurchase	O	50743
word+nextpos	protection+rbr	O	67038
word+nextpos	sternest+nnp	O	90095
suffix3	to	O	255
word+nextpos	gmc+nnp	O	101853
word+nextpos	attorneys.+nnp	O	93509
prevword	accusation	O	25069
prefix3	(tr	I-NE	110149
word	Adolf	O	30430
nextword	rehnquist	B-NE	102226
word	candidate.	O	62598
word+nextpos	d'amico+,	I-NE	134666
word	judge	O	3284
word+nextpos	some+vbn	O	112256
word	irregular	O	140947
prefix3	tac	O	79628
prevword	levitt	O	117809
word+nextpos	japanese+to	O	63149
word+nextpos	.+vbg	O	1874
word+nextpos	breadth+cc	O	132101
prefix3	hau	O	66745
word+nextpos	liberating+in	O	101589
word+nextpos	prone+to	O	52350
nextword	foundations	O	100973
nextword	linger	O	100180
nextword	arbiters	O	95561
word+nextpos	4+rb	O	142222
word+nextpos	hesitate+to	O	19804
word	Mandarin	O	92001
prefix3	mal	B-NE	41398
word+nextpos	been+nn	O	56637
word+nextpos	profitability+to	O	60309
word	neighbors.	O	93973
word+nextpos	employs+dt	O	47903
word+nextpos	even+dt	O	35728
word+nextpos	700+cd	O	53958
word+nextpos	62.8+cd	O	67300
prevword	gramercy	I-NE	134365
prevword	chi	O	35131
prefix3	mir	I-NE	17816
prevword	sounding	O	57663
word	believed	O	2164
word+nextpos	musical+in	O	98593
word+nextpos	retracted+nnp	O	89919
word+nextpos	effective+,	O	64295
prevword	217	O	60570
shape	number	O	888
nextword	error	O	84172
word+nextpos	70,000+jj	O	75855
word+nextpos	advisor+to	O	107266
prevword	oust	B-NE	122786
word+nextpos	nor+rb	O	105972
prevword	locals	O	91981
word+nextpos	gains,+''	O	83212
prefix3	atr	O	59918
word+nextpos	worked+nnp	O	136272
word	3-	O	62504
word	robbers.	O	96950
word+nextpos	japan+:	B-NE	75602
prevword	-made	O	15229
nextword	al-tuffah	B-NE	87780
word+nextpos	probe+vbp	O	60787
word	terrorizing	O	30408
nextword	1984	O	20225
word+nextpos	clogged+nn	O	94842
word	-made	O	15223
word	mafia	O	3679
word+nextpos	slot+vbz	O	58097
prevword	stuyvesant	I-NE	115500
word+nextpos	tuzla+,	B-NE	30449
prevword	9.8	O	53667
nextword	keyboards	O	115712
prevword	4	O	19371
word+nextpos	sentenced+nnp	O	80784
word+nextpos	boundaries+in	O	110699
prevword	bubble	O	63503
word+nextpos	court+cc	I-NE	124012
word+nextpos	trial+.	O	23175
nextword	below	O	28538
nextword	lead-in	O	67341
prevword	formulation	O	50236
prevword	tracksuit	O	3412
word+nextpos	staubach+cc	I-NE	115475
word	stemming	O	56494
word	2	O	21680
word+nextpos	killed+vbg	O	80653
word	Nieporent	I-NE	134577
word+nextpos	irreverent+,	O	91654
word+nextpos	option+in	O	50914
suffix3	rta	B-NE	44469
word+nextpos	case+nns	O	55404
word	Oliver	B-NE	89984
nextword	urgency	O	36740
word	Tele-Communications	B-NE	39968
word+nextpos	law+cc	O	18090
word	reporters	O	6941
word+nextpos	associations+vbg	O	128875
word	squad.	O	21320
word+nextpos	press+rb	O	47241
word	scenes.	O	92526
nextword	turning	O	22438
prevword	farmers	O	48165
word	custom	O	56417
word	miracles	O	2722
word+nextpos	cable+nnp	O	67206
prevword	shops	O	46680
prevword	eduardo	I-NE	135619
prevword	efforts.	O	31800
word+nextpos	1917+cc	O	23678
word+nextpos	attorneys+vbd	O	90282
prevword	health-care	O	58657
prevword	restore	B-NE	74522
word+nextpos	without+nn	O	2284
word	Lake	I-NE	81556
prevword	convincing	O	133666
nextword	activists	B-NE	67872
word+nextpos	rooms+.	O	85382
word	Memorial	I-NE	36633
word+nextpos	holding+nnp	O	117235
word	citizen.	O	102185
word+nextpos	window.+nnp	O	133250
nextword	accumulated	O	107890
prevword	6-year-old	B-NE	21107
word+nextpos	invisible.+nnp	O	49351
nextword	namely	O	44956
word	derail	O	3240
word+nextpos	manfredy+nnp	B-NE	120656
prevword	bolt	O	36241
nextword	negotiators	B-NE	49685
word	digging	O	54361
word+nextpos	sounded+rb	O	111000
prevword	endeavour	O	139501
word+nextpos	declining+jj	O	100551
nextword	ill.	O	42477
prevword	itogi	O	9422
prefix3	pra	O	21521
nextword	suleyman	O	122106
word+nextpos	eventually+vbn	O	54688
word+nextpos	celebrate+in	O	36930
prevword	predicated	O	120324
word	10,000-meter	O	97223
word+nextpos	posts+in	O	87753
nextword	sternly	O	71174
prevword	glafcos	I-NE	66365
prefix3	mp	O	86777
suffix3	yed	O	1422
prevword	ended	O	55475
word+nextpos	rico+,	I-NE	91741
nextword	temperamental	O	123930
word+nextpos	am+:	O	121794
prevword	layoffs	O	31816
word+nextpos	started+.	O	136744
prevword	shawn	I-NE	81619
word+nextpos	235,000+nn	O	88760
word	7,015	O	11514
word+nextpos	congress+vbz	B-NE	34380
word	different	O	11614
word	YEKATERINBURG	O	109628
word+nextpos	had+,	O	66771
word+nextpos	indians+vbp	I-NE	129901
prefix3	koh	B-NE	77805
nextword	parachute	O	53748
word+nextpos	violated.+nnp	O	44336
word	districts.	O	70969
word+nextpos	implant+dt	O	23859
prefix3	,	O	138
nextword	names	B-NE	112195
prevword	400-point	O	88176
word+nextpos	madrid+,	B-NE	74758
nextword	yield	O	83294
word	explosion	O	6387
word+nextpos	cleared+dt	O	78860
word	incurred	O	45009
nextword	nickname	O	104889
word+nextpos	bridge+in	O	82655
word	stoppage	O	119920
nextword	slowdown	O	66732
nextword	46-year-old	O	111343
word+nextpos	donkovtsev+vbd	I-NE	107673
word+nextpos	stated+in	O	1967
nextword	extrajudicial	O	93618
word+nextpos	descend+in	O	77300
prevword	lawmaker	O	16124
word+nextpos	modern+,	O	138997
word+nextpos	polarized+nn	O	82798
prevword	well-choreographed	O	66680
word+nextpos	sustain+dt	O	54096
word+nextpos	billion+in	O	40190
prevword	perfidious	O	129189
nextword	outlaws	O	112143
word+nextpos	aging+nnp	O	130445
prevword	unverified	O	44645
prevword	free	O	10928
word	four-star	O	85334
prevword	riders.	O	95075
word+nextpos	klesko+pos	B-NE	129736
prefix3	uri	B-NE	80596
word+nextpos	southern-style+nn	O	116808
prefix3	pio	B-NE	115152
prevword	dale	I-NE	130517
word+nextpos	pass+rp	O	90696
suffix3	ack	O	1612
word+nextpos	roaming+rb	O	96045
nextword	reluctance	O	26555
prevword	sagged	O	97363
nextword	sportsman	O	13152
word+nextpos	unions+in	O	50839
nextword	50,000	O	25238
word	benches	O	106989
word+nextpos	partner+.	O	55766
nextword	now	B-NE	36184
nextword	better	O	18478
nextword	hermes	O	102422
nextword	target.	O	19275
word+nextpos	worthy+in	O	104351
word+nextpos	machines+,	O	87015
word	Louis	I-NE	23210
prevword	year,	O	83512
word+nextpos	arsenal+pos	B-NE	74338
prevword	abuses	O	30704
word+nextpos	angry+,	O	100813
word	Enforcement	O	101961
word+nextpos	class+cc	O	28489
nextword	's-eye	O	121625
nextword	rotated	B-NE	130902
suffix3	yan	B-NE	77906
word+nextpos	billions+,	O	112602
nextword	martin	B-NE	115394
nextword	reached	I-NE	81592
word	Radical	B-NE	76808
word	Ballistic	O	113042
word	Solomon	B-NE	101187
prevword	dealers	O	83123
word+nextpos	thus+dt	O	9204
word+nextpos	diplomats+vbn	O	56883
word+nextpos	matters+vbp	O	93301
word	plate	O	10333
suffix3	phs	O	59561
prevword	carlo	O	122540
nextword	homemade	O	99483
word	Anyplace	O	99027
prevword	broadening	B-NE	120448
word+nextpos	fhi+nnp	B-NE	85498
word	schemes	O	22236
word+nextpos	markets+.	O	47983
word+nextpos	down+cc	O	18846
nextword	steam.	O	49413
nextword	opel	O	79232
suffix3	ows	B-NE	103351
word+nextpos	problems+prp	O	98952
word	six	O	1070
prevword	dzhikhaskari	O	75453
prevword	leo	I-NE	98873
word	117	O	113956
word+nextpos	areas+wrb	O	38813
word+nextpos	why+rb	O	101236
word+nextpos	textiles+cc	O	108017
nextword	bedroom.	O	137764
prevword	candle	O	120414
prevword	32,640	O	121002
word+nextpos	animals+in	O	93946
word+nextpos	diplomat+.	O	45447
nextword	fides	O	118719
nextword	defrauded	O	112289
word	D.U.P	B-NE	70840
word+nextpos	sell+rp	O	84553
nextword	adamantly	O	37574
word+nextpos	kofi+nnp	O	74999
word	Agoro	O	123614
prefix3	675	O	122441
word+nextpos	dire+,	O	48323
word	Jordanians	B-NE	45825
prevword	russo	I-NE	123558
word	Relating	O	93564
prevword	hydro	I-NE	64723
nextword	rapprochement	O	66395
pos+prevtag	IN+None	O	10938
nextword	disintegrating	O	92797
word+nextpos	shooting+,	O	10476
word	inquiry.	O	46499
word	bare	O	15347
word+nextpos	premature+:	O	76980
word+nextpos	germany+nns	B-NE	137668
word	Elissa	B-NE	101920
prevword	cameroon	O	76293
nextword	domain.	O	84972
word	April	O	18253
prefix3	hao	I-NE	34771
word+nextpos	territory+.	O	35976
word+nextpos	afforded+nns	O	116081
word+nextpos	hit+prp$	O	83969
word	Geneval	B-NE	4714
nextword	miguel	O	74608
word+nextpos	performance+cc	O	38605
word	meanings	O	101413
nextword	unheard	O	118673
nextword	five-year	O	56442
word	unacceptable.	O	51856
prevword	maj.	O	86195
word+nextpos	a24+.	O	133685
nextword	bought	B-NE	55011
prevword	demeanor	O	106663
word	cemented	O	14997
word+nextpos	boss+in	O	32669
word+nextpos	congressional+nn	O	55298
prevword	uzbek	O	6744
nextword	russians	O	11730
prevword	tee	O	131516
word+nextpos	seattle+pos	B-NE	92649
word+nextpos	for+jj	I-NE	57701
word+nextpos	valley+nn	I-NE	139879
word+nextpos	1997.+cc	O	84572
word	hammered.	O	104823
prevword	interim	O	3156
prevword	plunging	O	27852
word+nextpos	]+vbg	O	108216
nextword	vlassov	B-NE	10751
prevword	meaning	O	68358
word+nextpos	have+nnp	O	2495
word+nextpos	hits+.	O	130358
word+nextpos	harness+in	O	84811
